Data,Novos Casos,Total de Casos,Novos Óbitos,Total de Óbitos,Novos Recuperados,Total de Recuperados
2020-03-21,2,2,0,0,0,0
2020-03-22,0,2,0,0,0,0
2020-03-23,1,3,0,0,0,0
2020-03-24,0,3,0,0,0,0
2020-03-25,0,3,0,0,0,0
2020-03-26,1,4,0,0,0,0
2020-03-27,0,4,0,0,0,0
2020-03-28,1,5,0,0,0,0
2020-03-29,2,7,2,2,0,0
2020-03-30,0,7,0,2,1,1
2020-03-31,0,7,0,2,0,1
2020-04-01,1,8,0,2,0,1
2020-04-02,0,8,0,2,0,1
2020-04-03,0,8,0,2,0,1
2020-04-04,2,10,0,2,1,2
2020-04-05,4,14,0,2,0,2
2020-04-06,2,16,0,2,0,2
2020-04-07,1,17,0,2,0,2
2020-04-08,2,19,0,2,0,2
2020-04-09,0,19,0,2,0,2
2020-04-10,0,19,0,2,0,2
2020-04-11,0,19,0,2,2,4
2020-04-12,0,19,0,2,0,4
2020-04-13,0,19,0,2,0,4
2020-04-14,0,19,0,2,1,5
2020-04-15,0,19,0,2,0,5
2020-04-16,0,19,0,2,0,5
2020-04-17,0,19,0,2,0,5
2020-04-18,5,24,0,2,1,6
2020-04-19,0,24,0,2,0,6
2020-04-20,0,24,0,2,0,6
2020-04-21,0,24,0,2,0,6
2020-04-22,1,25,0,2,0,6
2020-04-23,0,25,0,2,0,6
2020-04-24,0,25,0,2,0,6
2020-04-25,0,25,0,2,0,6
2020-04-26,1,26,0,2,0,6
2020-04-27,1,27,0,2,0,6
2020-04-28,0,27,0,2,1,7
2020-04-29,0,27,0,2,0,7
2020-04-30,0,27,0,2,0,7
2020-05-01,3,30,0,2,4,11
2020-05-02,5,35,0,2,0,11
2020-05-03,0,35,0,2,0,11
2020-05-04,0,35,0,2,0,11
2020-05-05,1,36,0,2,0,11
2020-05-06,0,36,0,2,0,11
2020-05-07,0,36,0,2,0,11
2020-05-08,7,43,0,2,0,11
2020-05-09,0,43,0,2,2,13
2020-05-10,2,45,0,2,0,13
2020-05-11,0,45,0,2,0,13
2020-05-12,0,45,0,2,1,14
2020-05-13,0,45,0,2,0,14
2020-05-14,3,48,0,2,0,14
2020-05-15,0,48,0,2,3,17
2020-05-16,0,48,0,2,0,17
2020-05-17,0,48,0,2,0,17
2020-05-18,2,50,1,3,0,17
2020-05-19,2,52,0,3,0,17
2020-05-20,6,58,0,3,0,17
2020-05-21,2,60,0,3,1,18
2020-05-22,0,60,0,3,0,18
2020-05-23,1,61,1,4,0,18
2020-05-24,8,69,0,4,0,18
2020-05-25,1,70,0,4,0,18
2020-05-26,1,71,0,4,0,18
2020-05-27,2,73,0,4,0,18
2020-05-28,4,77,0,4,0,18
2020-05-29,4,81,0,4,0,18
2020-05-30,3,84,0,4,0,18
2020-05-31,2,86,0,4,0,18
2020-06-01,0,86,0,4,0,18
2020-06-02,0,86,0,4,0,18
2020-06-03,0,86,0,4,0,18
2020-06-04,0,86,0,4,1,19
2020-06-05,0,86,0,4,2,21
2020-06-06,2,88,0,4,3,24
2020-06-07,3,91,0,4,0,24
2020-06-08,1,92,0,4,14,38
2020-06-09,4,96,0,4,0,38
2020-06-10,17,113,0,4,2,40
2020-06-11,5,118,1,5,1,41
2020-06-12,12,130,0,5,1,42
2020-06-13,8,138,1,6,19,61
2020-06-14,2,140,0,6,0,61
2020-06-15,2,142,0,6,3,64
2020-06-16,6,148,0,6,0,64
2020-06-17,7,155,1,7,0,64
2020-06-18,11,166,1,8,0,64
2020-06-19,6,172,0,8,2,66
2020-06-20,4,176,1,9,0,66
2020-06-21,7,183,0,9,11,77
2020-06-22,3,186,1,10,0,77
2020-06-23,3,189,0,10,0,77
2020-06-24,8,197,0,10,0,77
2020-06-25,15,212,0,10,4,81
2020-06-26,32,244,0,10,0,81
2020-06-27,15,259,0,10,2,83
2020-06-28,8,267,1,11,10,93
2020-06-29,9,276,0,11,0,93
2020-06-30,8,284,2,13,0,93
2020-07-01,7,291,2,15,4,97
2020-07-02,24,315,2,17,0,97
2020-07-03,13,328,1,18,10,107
2020-07-04,18,346,1,19,1,108
2020-07-05,7,353,0,19,0,108
2020-07-06,0,353,0,19,0,108
2020-07-07,33,386,2,21,9,117
2020-07-08,10,396,1,22,0,117
2020-07-09,62,458,1,23,0,117
2020-07-10,4,462,0,23,1,118
2020-07-11,21,483,2,25,0,118
2020-07-12,23,506,1,26,0,118
2020-07-13,19,525,0,26,0,118
2020-07-14,16,541,0,26,0,118
2020-07-15,35,576,1,27,6,124
2020-07-16,31,607,1,28,0,124
2020-07-17,31,638,1,29,75,199
2020-07-18,49,687,0,29,11,210
2020-07-19,18,705,0,29,11,221
2020-07-20,44,749,0,29,0,221
2020-07-21,30,779,1,30,0,221
2020-07-22,33,812,3,33,5,226
2020-07-23,39,851,0,33,10,236
2020-07-24,29,880,2,35,5,241
2020-07-25,36,916,4,39,1,242
2020-07-26,16,932,1,40,0,242
2020-07-27,18,950,1,41,0,242
2020-07-28,50,1000,6,47,24,266
2020-07-29,78,1078,1,48,35,301
2020-07-30,31,1109,3,51,94,395
2020-07-31,39,1148,1,52,38,433
2020-08-01,16,1164,2,54,23,456
2020-08-02,35,1199,1,55,1,457
2020-08-03,81,1280,3,58,15,472
2020-08-04,64,1344,1,59,27,499
2020-08-05,51,1395,3,62,3,502
2020-08-06,88,1483,2,64,14,516
2020-08-07,55,1538,3,67,24,540
2020-08-08,34,1572,3,70,17,557
2020-08-09,100,1672,5,75,3,560
2020-08-10,7,1679,3,78,2,562
2020-08-11,56,1735,2,80,6,568
2020-08-12,27,1762,0,80,2,570
2020-08-13,53,1815,3,83,7,577
2020-08-14,37,1852,3,86,0,577
2020-08-15,27,1879,0,86,44,621
2020-08-16,27,1906,2,88,0,621
2020-08-17,29,1935,0,88,4,625
2020-08-18,31,1966,2,90,35,660
2020-08-19,49,2015,2,92,31,691
2020-08-20,29,2044,1,93,44,735
